word,f_ev,f_mv,s_prop
afdelingschef,10,3,1
afdelingshoofd,34,20,0
afdruk,257,213,0
afdwaling,1,3,0
affaire,460,37,1
affectie,56,5,1
affiche,36,21,1
afgezant,53,24,0
afgietsel,10,4,1
afgod,17,17,0
afgodsbeeld,10,6,0
afgrond,208,6,0
afhaling,1,1,0
afkeuring,21,3,0
afkickcentrum,41,3,0
afknapper,28,4,1
afkoopsom,11,1,0
afkorting,86,11,0
aflaat,4,1,0
afleider,5,8,1
afleiding,355,45,0
afleidingsmanoeuvre,65,3,1
afleidingsmiddel,1,1,0
aflevering,338,63,0
aflossing,59,9,0
afmeting,23,62,0
afnemer,19,5,1
afperser,28,12,1
afpersing,170,14,0
aframmeling,16,3,0
afrastering,11,1,0
afrekening,65,6,0
afrit,68,8,0
afrodisiacum,22,1,0
afscheiding,36,1,0
afscheidsbrief,45,3,0
afscheidscadeau,36,1,1
afschrift,26,36,0
afschrijving,5,3,0
afsluiter,11,7,1
afsluiting,84,2,0
afspraak,4261,394,0
afspraakje,1286,265,1
afstammeling,74,60,0
afstand,1744,50,0
afstandsbediening,263,13,0
afstelling,2,1,0
afstoting,14,1,0
afstraffing,20,1,0
aft,2,1,0
aftrekpost,8,7,0
aftreksel,13,2,1
aftreksom,0,1,0
afgevaardigde,0,5,0
afvaardiging,14,2,0
afvalcontainer,12,2,1
afvalstof,1,9,0
afvoer,105,6,0
afvoerbuis,15,2,0
afvoerkanaal,9,4,0
afvoerpijp,18,6,0
afweermechanisme,3,1,1
afweerstof,0,5,0
afweging,7,1,0
afwijking,188,117,0
afwijzing,117,21,0
afzegging,13,3,0
afzender,58,1,1
afzetgebied,1,1,0
afzetter,14,12,1
afzetting,33,6,0
agenda,533,21,1
agendapunt,15,1,0
agent,7892,2681,0
agentes,0,1,0
agentschap,171,23,0
aggregaat,32,1,0
agnosticus,4,1,0
agrariër,0,1,1
agressie,218,2,1
agressor,18,3,1
air,48,6,1
ajuin,6,3,0
akela,10,3,1
aker,0,8,1
akkefietje,34,5,1
akker,30,40,1
akkoord,470,31,0
alarmbel,11,11,0
alarminstallatie,9,3,1
alarmnummer,130,2,1
alarmsignaal,6,6,0
alarmsysteem,94,27,0
albatros,19,7,0
albe,0,1,0
albino,43,5,1
album,250,53,1
alchimist,20,1,0
alcoholicus,8,3,0
alcoholist,235,54,0
alfa,35,2,1
alfabet,93,1,0
algebra,45,1,1
algemeenheid,3,4,0
alias,7,11,0
alibi,659,31,1
alikruik,0,2,0
alinea,23,3,1
alkaloïde,1,3,0
allegaartje,5,1,1
allergeen,0,3,0
allergie,81,45,0
allesdrager,3,1,1
alleseter,0,1,1
alliantie,88,5,1
alligator,94,66,1
alliteratie,5,1,1
allure,29,3,1
allusie,0,3,1
alp,0,2,0
alpaca,5,2,1
alpenjager,1,1,1
alpenweide,0,1,0
alpinist,1,3,0
alt,8,4,0
altaar,229,4,0
alternatief,286,70,0
alumnus,2,9,0
alver,0,15,1
amarant,2,1,0
amateur,230,230,1
ambacht,10,6,0
ambassade,566,26,1
ambassadeur,682,42,1
ambitie,256,131,1
ambt,103,4,0
ambtsgewaad,2,1,0
ambtstermijn,15,2,0
ambulance,1098,63,1
ambulancedienst,1,1,0
amen,104,1,1
amendement,89,6,0
amethist,2,2,0
amfibie,22,19,0
amfibievoertuig,1,3,0
amigo,152,84,1
aminozuur,8,12,0
amoebe,5,3,0
amplitude,2,1,1
ampul,59,48,0
amputatie,29,10,1
ampère,9,2,1
amulet,182,24,0
amusement,130,1,1
anaconda,10,5,1
anagram,23,7,0
analfabeet,48,17,0
analist,60,25,0
analogie,21,3,0
analyse,322,32,1
ananas,110,4,0
anarchist,4,41,0
anathema,0,1,1
andromeda,0,1,1
anekdote,15,33,1
anemoon,5,3,0
anesthesist,39,5,0
angel,24,8,1
angioom,1,5,0
anglicaan,1,2,0
angst,3019,285,0
angstdroom,3,3,0
angstgevoel,4,5,0
angsthaas,63,17,0
angstkreet,2,2,0
angstpsychose,2,2,0
angstreactie,0,1,1
animatie,25,1,1
animatiefilm,1,8,1
animator,5,7,1
animeermeisje,1,2,1
anjer,13,47,1
anker,208,24,1
annonce,3,6,1
annulering,9,4,0
anomalie,79,34,0
anorak,1,1,1
ansichtkaart,48,33,0
antecedent,2,7,0
antenne,127,34,1
anti-tankwapen,1,1,1
antibioticum,6,103,0
anticonceptiemiddel,2,2,0
anticonceptiepil,1,2,0
antidepressivum,1,39,0
antiekwinkel,23,12,1
antilichaam,3,15,0
antipode,0,2,0
antiquair,17,4,1
antiquiteit,3,9,0
