word,f_ev,f_mv,s_prop
druktank,1,1,1
druktemaker,11,7,1
druktoets,0,2,0
drukwerk,10,1,0
drum,64,9,1
drummer,130,19,1
drumstick,10,6,1
drup,30,3,0
drupje,28,2,1
druppel,376,129,1
druppelinfuus,0,1,0
druppeltje,33,10,1
druïde,45,27,0
dryade,2,1,0
dubbel,0,3,1
dubbelagent,32,3,0
dubbeldekker,5,1,1
dubbelganger,92,26,1
dubbelspion,45,5,0
dubbelsprong,5,1,0
dubbeltje,82,23,1
dubbelzinnigheid,13,3,0
dubloen,3,9,0
duellist,7,1,0
duet,51,6,0
duif,217,242,0
duifje,47,8,1
duig,0,70,0
duik,255,4,0
duikbommenwerper,1,3,1
duikboot,124,30,0
duikbril,23,2,0
duikelaar,8,1,1
duiker,113,100,1
duikerpak,7,1,0
duikroer,1,12,0
duim,422,136,0
duimpje,35,2,1
duimschroef,0,25,0
duimspijker,0,1,1
duimzuiger,1,2,1
duin,17,34,0
duister,174,4,1
duisterheid,5,1,0
duit,37,27,0
duivelin,17,2,0
duivelskind,8,2,0
duivelskop,1,1,0
duivelsoog,4,1,0
duivelsstreek,0,1,0
duizeling,2,4,0
duizendje,9,4,1
duizendpoot,9,5,0
duizendtal,5,1,0
dukaat,7,36,0
dumdum,2,5,1
dumdumkogel,0,2,1
dummy,22,2,1
dumping,3,1,0
dumpprijs,0,1,0
dumpzaak,4,1,0
dunk,96,2,1
duo,58,1,1
duobaan,0,1,0
duplicaat,17,2,0
duppie,15,4,1
durfal,7,1,0
duster,3,1,1
dutje,286,15,1
duts,0,1,0
duvel,32,1,1
duw,146,4,0
dwaal,0,1,0
dwaallicht,0,9,0
dwaalspoor,47,1,0
dwaaltocht,0,1,0
dwaas,480,154,0
dwaasheid,100,13,0
dwaling,27,7,0
dwangarbeider,6,15,1
dwangbevel,50,4,0
dwangbuis,70,6,0
dwangvoorstelling,0,1,0
dwarsbalk,6,2,0
dwarskop,2,2,0
dwarslaesie,6,1,1
dwarsligger,6,6,1
dwarsstraat,0,1,0
dweil,67,1,0
dweper,3,1,1
dwerg,384,266,0
dynamiek,16,1,0
dynamo,11,1,1
dáns,0,1,0
dégénéré,2,2,1
echo,366,29,1
echopeiling,1,1,0
echtbreker,4,1,1
echtgenoot,1582,1,1
echtpaar,95,25,0
echtscheiding,109,16,0
eclips,32,2,0
economie,354,7,0
econoom,14,9,0
ecosysteem,43,5,0
edelgas,1,1,0
edelhert,0,1,0
edelman,102,1,0
edelsmid,1,2,0
edelsteen,37,56,0
edelvrouw,2,1,0
edict,4,1,0
editie,130,13,1
eekhoorn,263,122,1
eeltknobbel,3,4,1
een,0,62554,0
een-tweetje,6,1,1
eend,366,150,0
eendagsvlieg,16,3,0
eendekker,8,1,1
eendenkooi,0,1,0
eenheid,1077,555,0
eenhoorn,107,30,1
eenhoren,0,1,1
eenling,43,4,0
eenoudergezin,2,3,0
eenpersoonsbed,7,4,0
eenpersoonskamer,19,1,1
eer,2992,1,1
eerbewijs,7,2,0
eerste,14,1,1
eersteklasser,1,4,1
eersteling,0,1,0
eerstgeborene,51,13,0
eerwaarde,1,1,1
eetbord,0,1,0
eethuis,36,3,0
eetkamer,161,3,1
eetlepel,8,12,1
eetprobleem,0,2,0
eetstokje,2,18,1
eettafel,42,1,1
eettent,19,1,0
eetwaar,1,4,0
eeuw,1091,651,0
eeuwigheid,447,1,0
effect,694,182,0
effectbal,24,1,0
effectenbeurs,15,1,0
effectenmakelaar,24,5,1
egard,0,6,1
egel,24,13,1
ego,318,27,1
egoïst,75,11,0
eicel,13,20,0
eierboer,1,1,0
eierdooier,2,3,1
eierdop,0,1,0
eierdopje,1,1,1
eierkoek,1,1,0
eierschaal,16,13,0
eierstok,16,26,0
eigenaardigheid,3,41,0
eigendom,571,135,0
eigendomsbewijs,6,3,0
eigendomsoverdracht,1,1,0
eigendomsrecht,8,3,0
eigenheimer,2,1,1
eigennaam,2,1,0
eigenschap,131,207,0
eihoofd,2,1,0
eik,67,16,0
eiland,2252,228,0
eilandbewoner,2,10,1
eilander,3,6,1
eileider,6,15,1
eind,3633,21,0
eindje,403,51,1
eindcijfer,9,3,1
einde,4937,11,1
einder,4,2,1
eindexamen,88,24,1
eindexamenkandidaat,1,1,0
eindpunt,53,2,0
eindresultaat,23,1,0
eindronde,8,1,0
eindscore,4,1,1
eis,201,513,0
eiser,60,28,1
eitje,238,136,1
eiwit,30,21,0
ekster,6,3,1
eksteroog,3,5,0
el,66,3,0
eland,104,26,0
elastiek,22,7,0
elastiekje,9,9,1
elektricien,74,13,1
elektriciteitsbedrijf,3,4,0
elektriciteitsdraad,2,6,0
elektriciteitskabel,5,7,1
elektrolyt,0,11,0
elektromagneet,2,2,0
elektromotor,1,1,0
elektron,7,21,0
elektronenmicroscoop,5,1,0
elektroshock,22,15,1
element,156,282,0
elf,16,134,0
eliminatie,27,2,1
elite,157,1,1
elite-eenheid,9,1,0
elitetroep,0,16,0
elixir,10,1,1
elleboog,142,108,0
ellendeling,100,32,0
eloge,0,1,1
elpee,16,7,1
els,0,9,0
email,84,14,1
emanatie,0,1,1
emballeur,0,2,1
embargo,24,2,1
embleem,37,4,0
embryo,41,20,1
emigrant,2,8,0
eminentie,117,2,1
emir,18,2,1
emissie,11,7,1
emmer,284,73,1
emoe,5,1,1
emotie,280,591,1
emplacement,7,1,0
employee,5,2,1
employé,7,5,1
encyclopedie,44,8,0
encyclopedist,0,1,0
end,100,1,0
endorfine,14,7,0
energie,1696,8,0
energiebedrijf,28,1,0
energiebron,64,13,0
energiecentrale,12,4,1
energieniveau,9,1,1
energieveld,34,9,0
energievoorziening,9,1,0
engelbewaarder,13,1,1
engelenkoor,9,1,0
engerd,325,66,1
engineer,0,1,1
engte,4,1,0
enigma,17,3,1
enkel,306,159,1
enkelband,13,7,0
enkeling,28,5,0
enquete,0,1,1
enquête,29,7,1
enquêteur,1,1,1
enterhaak,5,11,0
entertainer,46,18,1
enthousiasteling,0,1,0
entiteit,38,8,0
entrecote,1,1,1
enzym,34,39,0
epaulet,0,7,0
epicentrum,23,1,0
epifyse,0,1,1
epigram,2,1,0
epilepticus,14,2,0
epistel,4,1,1
eppe,0,3,1
equipage,5,1,1
era,4,1,1
erectie,130,13,1
erectieprobleem,1,6,0
eredienst,3,1,0
eredoctoraat,16,2,0
eregast,83,18,0
erelid,7,1,0
ereloon,4,1,0
eremiet,0,1,0
ereplaats,11,1,0
ereprijs,0,1,0
eretitel,7,1,1
erezaak,16,2,0
erfenis,352,6,0
erfgenaam,248,43,0
erfopvolging,0,1,0
erfstuk,34,21,0
erfwet,0,1,0
erg,15,3,0
ergernis,33,13,0
error,8,1,1
erts,31,3,0
ertslaag,0,1,0
eruptie,9,6,1
ervaring,2080,325,0
erven,0,2,0
erwt,24,81,0
es,19,5,0
escalatie,12,1,1
escapade,11,15,1
escort,31,2,1
escorte,222,2,1
escudo,3,1,1
esdoorn,17,3,1
eskader,84,20,1
eskadron,23,3,1
esp,3,2,0
espresso,113,10,1
essay,77,11,1
essence,6,4,1
essentie,152,1,1
estheet,3,2,0
etablissement,19,2,0
etage,303,57,1
etalage,84,23,1
etalagepop,15,7,0
etappe,35,15,1
etenswaar,5,9,0
etentje,633,45,1
eter,29,20,1
etiket,83,31,0
etmaal,13,2,0
ets,8,17,0
etter,217,67,1
etterbak,99,21,0
etterbuil,8,1,0
ettergezwel,1,1,0
eufemisme,26,12,0
eunuch,27,15,0
euveldaad,1,1,0
evacuatie,231,7,1
evacuatiegebied,1,1,0
evacué,0,5,1
evaluatie,105,11,1
evaluatierapport,3,1,0
evangelist,8,10,0
evenbeeld,87,1,0
evenement,115,31,0
evennaaste,0,1,0
evenredigheid,2,2,0
eventualiteit,1,1,0
evenwichtsbalk,2,1,0
evenwichtsstoornis,0,1,0
everzwijn,49,15,0
evolutietheorie,7,1,0
evolutionist,1,3,0
exaltatie,1,1,1
examen,475,185,1
examencijfer,1,2,1
examencommissie,1,1,1
examenklas,10,1,0
examenvak,0,2,0
excellentie,557,10,1
excentriekeling,10,5,0
exceptie,2,2,1
exces,2,8,0
excursie,68,11,1
excuus,1042,2295,1
executeur,37,1,1
executie,387,66,1
exegese,1,2,1
exemplaar,271,118,0
exercitie,16,3,1
exhibitionist,12,5,0
existentialist,3,3,0
exorcisme,41,2,1
expansie,17,1,1
expediteur,4,1,1
expeditie,287,42,1
expeditielid,0,2,0
experiment,672,371,0
exploitatiemogelijkheid,0,1,0
explosie,756,113,1
explosief,22,500,0
exporteur,0,1,1
exportorder,0,1,1
expositie,121,8,1
expressie,43,2,1
expressionist,0,2,0
extensie,8,1,1
extra,1,10,1
extract,14,3,0
extractie,27,3,1
extreem,0,10,0
extremist,16,36,0
extremiteit,1,7,0
ezel,460,131,1
ezelin,3,1,0
ezelsoor,3,3,0
eén,2,1,1
eénoog,2,1,0
fabriek,908,166,0
fabrieksarbeider,5,6,1
fabrieksgebouw,0,1,0
fabriekshal,1,1,0
fabrieksmeisje,0,4,1
fabrieksprijs,0,1,0
fabrikant,46,17,0
face-lift,5,1,1
facet,6,21,0
faciliteit,136,78,0
factie,10,9,1
factuur,47,41,0
faculteit,145,2,0
fagot,7,1,0
fakir,6,2,1
fakkel,77,63,1
falangist,0,6,0
fallus,7,2,0
familie,13284,711,1
familieaangelegenheid,8,4,0
familieband,13,23,0
familiebedrijf,69,1,0
familiebericht,0,1,0
familiebijeenkomst,10,4,0
familieboerderij,1,1,0
familieconnectie,0,1,1
familiedrama,6,1,1
familiefeest,8,1,0
familiefoto,7,13,1
familiegeheim,10,5,0
familiegeschiedenis,19,1,0
familiehoofd,1,1,0
familiejuweel,0,10,0
familiekwestie,15,3,1
familielid,253,248,0
familienaam,94,3,0
familieoudste,0,1,0
familieportret,7,5,0
familieprobleem,4,21,0
familierecept,5,1,0
familierelatie,1,1,1
familiereünie,37,5,1
familiestuk,16,3,0
familietrek,2,1,0
familieverband,0,1,0
familievriend,6,1,0
familiewapen,16,3,1
familiezaak,34,50,0
fan,839,472,1
fanaat,35,16,0
fanaticus,37,34,0
fanatiekeling,11,27,0
fanclub,41,1,1
fanfare,39,5,1
fantasie,857,199,0
fantasiewereld,38,1,0
fantast,20,4,0
fantoom,59,35,0
fantoompijn,1,1,0
farao,199,62,1
farizeeër,3,2,1
farm,0,1,1
farmaceut,0,2,0
farmer,36,3,1
fascist,102,91,0
fasciste,0,1,1
fat,0,1,0
fatalist,0,1,0
fatsoensnorm,4,6,0
fatsoensregel,0,1,1
faun,14,1,0
fauteuil,5,1,1
favoriet,480,130,0
fazant,43,22,0
façade,35,1,1
federalist,0,3,0
federatie,31,1,1
feeks,78,7,0
feest,4257,453,0
feestartikel,0,4,0
feestdag,131,225,0
feestelijkheid,3,19,0
feestganger,4,9,1
feestmaal,95,1,0
feestmaaltijd,6,1,0
feestnummer,5,3,1
feestrede,1,1,1
feestvierder,1,5,1
feestzaal,3,1,0
feeënkoningin,5,1,0
feil,0,1,0
feit,1882,1106,0
felicitatie,15,84,1
feministe,26,3,1
feniks,11,1,0
fenomeen,141,35,0
festival,194,8,1
festiviteit,1,38,0
fetisj,30,10,0
fetisjist,6,2,0
fiasco,104,3,1
fiber,1,1,1
fibrillatie,4,1,1
fiche,22,136,1
fictie,180,1,1
fiets,881,41,0
fietser,10,11,1
fietsketting,2,1,0
fietspad,3,4,0
figurant,24,25,0
figuur,533,230,0
figuurtje,26,11,1
fijnproever,12,10,1
fikkie,7,2,1
file,210,88,1
filet,21,10,1
filiaal,36,28,0
filmacteur,4,1,1
filmbedrijf,1,1,0
filmbeeld,0,9,0
filmcamera,11,1,1
filmer,14,1,1
filmfestival,19,1,1
filmkritiek,0,1,0
filmmaker,43,31,1
filmploeg,27,2,0
filmregisseur,9,2,1
filmrol,21,4,0
filmster,267,89,0
filmstudio,17,6,1
filmtheater,1,2,1
filmversie,0,1,1
filmzaal,11,1,0
filosofie,349,9,0
filosoof,132,47,0
filter,88,41,1
filtersigaret,0,1,0
finale,488,44,1
finalist,18,36,0
financier,44,28,1
financiering,83,3,0
financieringsmogelijkheid,0,1,0
financieringsprobleem,0,1,0
finesse,41,2,1
fiool,7,4,0
firma,367,40,1
fitnesscentrum,12,1,1
fitting,2,3,0
fixatie,22,3,1
fjord,5,9,0
flacon,9,3,1
flagellant,1,2,0
flamingo,11,12,1
flank,83,48,0
flankeur,0,2,1
flapdrol,50,2,0
flapoor,10,6,0
flapper,5,1,1
flaptekst,2,1,0
flapuit,6,2,0
flard,0,199,0
flat,1487,82,1
flater,31,8,1
flatgebouw,24,9,0
flauwekul,397,1,0
flauwerik,0,1,0
flauwte,8,4,1
flensje,4,35,1
flenter,0,1,1
fles,1999,369,0
flesje,278,125,1
flesopener,6,2,1
flik,121,150,0
flikker,496,142,1
flikkerlicht,1,1,0
flinkerd,1,1,1
flinter,0,1,1
flip,8,3,0
flipper,57,12,1
flipperkast,25,5,0
flits,140,33,0
flitser,10,2,1
flitslamp,3,6,0
flitslicht,12,3,0
flodder,26,96,1
floep,1,1,0
flop,93,7,1
florijn,3,3,0
fluctuatie,7,8,1
fluim,9,3,0
fluisteraar,1,2,1
fluistering,18,3,0
fluitje,164,14,1
fluiter,5,6,1
fluitspeler,3,2,1
fluweel,47,3,0
fly-over,0,1,1
fobie,31,15,0
foetus,92,10,0
fok,28,3,0
fokdier,2,1,0
fokker,20,13,1
fokkerij,8,2,0
folder,79,73,1
folio,0,2,1
follikel,0,5,1
follow-up,10,2,1
folteraar,11,1,1
folterbank,0,1,0
foltering,27,9,0
folterwerktuig,1,1,0
fonds,156,126,0
foneem,0,1,0
fonkeling,6,5,0
fonograaf,3,1,0
fontanel,4,1,0
fontein,158,23,0
fooi,477,143,0
forel,68,17,0
forens,2,10,0
formaat,90,3,0
formaliteit,118,59,0
formatie,149,6,1
formule,435,34,1
formulering,8,3,0
formulier,291,190,0
fornuis,129,3,0
fort,380,23,0
fortificatie,0,1,1
fortuin,612,28,0
forward,7,1,1
fosfaat,2,7,0
fossiel,63,66,0
foto,5211,4316,1
fotoalbum,20,12,1
fotoboek,13,4,0
fotocel,0,1,0
fotograaf,415,91,0
fotokopie,13,5,0
fotomodel,60,13,0
fotoreportage,10,2,1
fotoserie,2,1,1
fotosessie,75,4,1
fototoestel,86,12,0
fouillering,4,1,0
fournituur,0,2,0
fout,2993,1404,0
fox,2,4,0
fractie,99,9,1
fractiegenote,0,1,0
fractuur,8,7,0
fragment,45,47,0
fragmentatiebom,1,2,0
framboos,9,28,0
frame,36,17,1
franchise,19,3,1
franciscaan,8,5,0
francofiel,0,1,0
franje,29,7,1
fransman,8,2,0
frats,0,38,0
fraude,218,2,1
fraudeur,29,6,1
freak,406,140,1
fregat,26,6,0
frequentie,260,94,1
frequentieband,2,1,0
fresco,4,13,1
fresia,1,7,1
fret,30,4,0
friet,134,80,0
frisbee,79,8,1
frisdrank,159,9,0
frite,0,26,1
frivoliteit,6,3,0
frons,15,3,0
front,433,38,0
frontcorrectie,0,1,1
frontlijn,5,1,0
frontlinie,61,12,1
frontsoldaat,0,5,0
fruitautomaat,7,6,0
fruitboom,2,5,0
frustratie,85,28,1
frutsel,1,5,1
fuga,6,1,1
fuif,114,18,0
fuifnummer,7,2,1
fuik,7,9,0
functie,444,118,1
functiestoornis,0,1,0
functionaris,28,33,0
fundament,36,29,0
fundamentalist,8,24,0
fundatie,0,1,1
fundering,67,10,0
fuselier,0,4,1
fusie,192,18,1
fusillade,0,2,1
fust,5,3,0
futiliteit,10,8,0
fysicus,25,8,0
fysiotherapeut,19,3,0
fïets,1,1,0
föhn,22,3,1
g,276,1,1
gaai,11,5,0
gaarkeuken,0,6,1
gaasje,6,8,1
gaatje,208,125,1
gabber,112,41,1
gadget,14,19,1
gage,39,1,1
gala,52,4,1
gala-avond,2,1,0
galblaas,21,2,0
galbult,0,3,0
galei,22,11,0
galeislaaf,4,3,0
galeriehouder,9,1,1
galerij,80,8,0
galg,110,7,0
galjoen,12,10,0
gallon,13,9,1
galon,0,1,1
galsteen,2,8,0
galwesp,4,8,0
gamba,2,5,1
game,18,47,1
gameet,0,1,0
gamel,3,1,0
gangboord,1,1,0
gangkast,12,1,0
gangmaker,9,1,1
gangpad,86,8,0
gangster,339,241,1
gangsterfilm,3,3,1
gans,47,98,0
gaper,0,3,1
garage,1266,25,1
garantie,265,70,1
garde,147,2,1
gardenia,2,7,1
garderobemeisje,1,1,1
gardist,2,14,0
gargouille,0,1,1
garnaal,77,242,0
garnalencocktail,13,9,1
garnering,5,2,0
garnizoen,97,6,0
gas,1152,74,0
gasaanval,2,1,0
gasbel,11,9,0
gasbom,1,6,0
gasfles,5,2,0
gasgranaat,0,2,0
gashendel,6,11,1
gashouder,0,1,1
gaskamer,72,29,1
gaslantaarn,0,1,1
gasleiding,19,9,0
gaslek,56,2,0
gasmasker,29,33,1
gasmeter,2,1,1
gasontploffing,1,1,0
gasoven,3,1,1
gaspatroon,1,1,0
gasprijs,0,3,0
gasreserve,0,1,1
gast,2460,2283,0
gastank,4,6,1
gastarbeider,0,6,1
gastcollege,4,1,1
gastdirigent,0,1,0
gastendoekje,0,1,1
gastenkamer,20,1,1
gastenverblijf,33,1,0
gastgezin,3,1,0
gastheer,330,27,0
gastland,2,1,0
gastplant,1,2,0
gastrol,14,1,0
gastspreker,15,3,1
gasveld,0,1,0
gasvlam,0,1,0
gaswolk,4,2,0
gat,2182,1,0
gatlikker,3,1,1
gaucho,0,1,1
gaullist,1,1,0
gauwdief,4,2,0
gay,0,4,1
gazel,1,8,0
gazelle,32,6,1
gazet,0,4,0
gazonsproeier,0,1,1
geaardheid,42,1,0
geadresseerde,2,2,0
geallieerde,0,94,0
gearresteerde,0,2,0
gebaar,347,77,0
gebakje,39,29,1
gebed,463,313,0
gebedsgenezer,4,4,1
gebedsruimte,0,1,0
gebergte,19,1,1
gebeurtenis,361,572,0
gebied,2545,332,0
gebiedsdeel,0,3,0
gebit,179,7,0
gebod,100,69,0
geboorteakte,46,11,1
geboortebewijs,21,3,0
geboortecijfer,0,3,1
geboortejaar,2,1,0
geboorteplaats,94,3,0
geboorterecht,55,3,0
gebouw,2958,511,0
gebrek,612,106,0
gebruik,1699,23,0
gebruiker,85,46,1
gebruiksaanwijzing,42,3,0
gebruiksmogelijkheid,0,1,0
gebruiksvoorwerp,5,5,0
gebuur,2,2,0
gedaanteverandering,2,1,0
gedegenereerde,0,6,0
gedenkdag,9,1,0
gedenkplaat,9,4,0
gedenkteken,21,3,1
gedeputeerde,2,1,0
gedicht,622,354,0
gedichtenbundel,3,2,1
gedraging,0,15,0
gedragscategorie,0,1,0
gedragscode,19,4,1
gedragslijn,5,1,0
gedragsnorm,0,1,0
gedragsobservatie,0,1,1
gedragspatroon,8,9,0
gedragsprobleem,4,11,0
gedragspsycholoog,1,2,0
gedragsregel,1,13,1
gedragsstoornis,4,1,0
gedragsstudie,0,3,1
gedragstherapeut,3,1,0
gedragswetenschap,4,1,0
gedragswijziging,1,1,0
gedrocht,102,13,0
geest,4045,1305,0
geestelijke,3,17,0
geestigheid,6,5,0
geestverwant,0,2,0
gegadigde,8,19,0
gegeven,93,1216,1
gegevensbestand,2,1,0
gehaast,0,1,0
gehaktbal,49,74,0
gehaktmolen,4,1,1
gehalte,50,2,1
geheelonthouder,17,3,1
geheim,2993,1387,0
geheimzinnigheid,52,2,0
gehemelte,22,1,0
geheugen,1210,12,1
geheugenchip,4,1,1
geheugenspel,1,1,0
geheugensteuntje,28,3,1
gehucht,39,7,0
gehuwde,0,3,0
geigerteller,14,1,1
geil,17,2,1
geilaard,7,2,1
geinponem,2,1,1
geintje,1178,424,1
geiser,12,7,1
geisha,46,8,1
geit,350,176,0
geitouw,0,2,0
gek,3337,568,0
gekheid,79,2,0
gekkenhuis,418,1,0
gekkerd,5,2,1
gekkin,24,1,0
gekko,12,7,1
gekwetste,0,3,0
gelaatsuitdrukking,7,2,0
gelag,9,1,0
geld,34704,24,0
geldautomaat,51,9,0
gelddrager,0,1,1
geldkist,15,1,0
geldla,9,1,1
geldlade,3,2,1
geldloper,3,3,1
geldprijs,3,4,0
geldschieter,57,29,1
geldsom,1,2,0
geldstroom,14,6,0
geldstuk,7,1,0
geldtas,3,1,0
geldwisselaar,2,7,1
geldwolf,10,9,0
geldzaak,1,29,0
geldzak,5,3,0
geldzorg,0,26,0
gelee,0,1,1
geleerde,91,144,0
gelegenheid,646,115,0
gelegenheidsdrinker,1,1,1
geleidehond,4,3,0
geleider,18,1,1
geleiding,7,1,0
geleidingssysteem,12,3,0
gelid,81,53,0
gelijke,0,27,0
gelijkenis,184,20,0
gelijkrichter,0,2,1
geloof,1323,5,0
geloofsbrief,1,16,0
geloofsgemeenschap,3,1,0
geloofsgenote,0,1,0
geloofsovertuiging,14,1,0
geloofszaak,0,1,0
geluid,2077,418,0
geluidje,30,9,1
geluiddemper,22,6,1
geluidsband,5,2,0
geluidsdemper,7,3,1
geluidseffect,3,8,0
geluidsfilm,4,3,1
geluidsgolf,2,16,0
geluidsinstallatie,7,2,1
geluidskop,0,1,0
geluidstechnicus,5,2,0
geluidstrilling,0,2,0
geluk,7223,9,1
gelukje,10,1,1
geluksgetal,41,3,0
geluksnummer,24,2,1
geluksspel,2,1,0
gelukstreffer,10,3,1
geluksvogel,177,22,1
gelukwens,2,63,0
gelukzak,28,4,0
gelukzoeker,2,1,1
gemaal,6,16,0
gemak,789,28,0
gemalin,5,2,0
gemeenheid,6,2,0
gemeenplaats,0,4,0
gemeenschap,899,31,0
gemeenschapshuis,6,1,0
gemeenschapslid,0,1,0
gemeenteambtenaar,2,1,0
gemeentebelasting,1,1,0
gemeentehuis,73,2,0
gemeentelid,3,2,0
gemeenteraadslid,16,4,0
gemenerik,26,3,0
gemiddelde,35,6,0
gemoed,25,21,0
gemoedstoestand,47,2,0
gems,0,4,0
gendarme,33,19,1
geneesheer,23,2,0
geneesmiddel,198,50,0
geneeswijze,16,9,0
generaal-majoor,17,1,1
generalisatie,2,2,1
generatie,518,314,1
geneticus,15,8,0
genezer,52,12,1
genezing,193,14,0
genezingsmogelijkheid,0,1,0
geniesoldaat,0,1,0
genieting,0,2,0
genius,8,5,0
genocide,53,2,1
genodigde,0,15,0
genoegen,1807,27,1
genoom,14,1,0
genootschap,94,17,0
genotmiddel,0,1,0
genotzoeker,0,1,1
genre,57,4,1
genster,0,1,1
gentleman,88,13,0
geoloog,39,25,0
gepensioneerde,4,1,0
geranium,8,14,1
gerant,10,1,1
gerbera,0,3,1
gerecht,312,57,0
gerechtsbode,2,1,0
gerechtsdienaar,24,1,0
gerechtsgebouw,74,1,0
gerechtshof,95,4,0
gerechtszaak,0,1,0
gereedschap,575,28,0
gericht,0,1,0
gerstebrood,0,2,0
gerucht,512,785,0
geruchtenmachine,0,1,1
geruststelling,71,2,0
geschenk,811,150,0
geschenkbon,0,1,0
geschiedenis,2301,1,0
geschiedenisboek,22,57,0
geschiedenisles,33,2,0
geschiedschrijver,3,3,1
geschil,51,40,0
geschilpunt,0,1,0
geschrift,31,96,0
geschutpoort,0,6,0
geschutskoepel,4,1,1
geschuttoren,0,2,1
gesel,19,16,0
geselpaal,1,1,0
geslaagde,0,8,0
geslacht,316,29,0
geslachtscel,0,4,0
geslachtsdeel,10,33,0
geslachtskenmerk,0,1,0
geslachtsklier,0,6,0
geslachtsorgaan,3,14,0
gesol,2,2,0
gesp,42,16,0
gesprek,2708,495,0
gesprekspartner,8,2,1
gespreksvaardigheid,0,2,0
gestalte,50,2,0
geste,16,1,1
gesteente,61,1,0
gesticht,68,7,0
getal,299,341,0
getijde,14,28,0
getijdenboek,0,1,0
getrouwe,0,12,0
getto,168,16,1
getuige,2481,1393,0
getuigenis,344,41,0
getuigenverhoor,3,3,0
getuigschrift,27,5,0
geul,52,11,0
geur,1028,95,0
geurstof,3,2,0
geurtje,46,10,1
geus,0,1,0
geval,5996,683,0
gevangenenkamp,16,1,0
gevangenis,4579,145,0
gevangeniscel,17,4,0
gevangenisdirecteur,20,1,0
gevangenismuur,3,3,0
gevangenispak,5,1,0
gevangenisstraf,187,5,0
gevangenissysteem,7,1,0
gevangenkamp,7,2,0
gevarentoeslag,1,1,0
gevarenzone,24,1,1
gevatheid,9,1,0
gevecht,2140,361,0
gevechtsbommenwerper,0,1,1
gevechtseenheid,13,10,0
gevechtsformatie,2,1,1
gevechtsgroep,7,2,0
gevechtshandeling,0,3,0
gevechtshelikopter,2,4,1
gevechtslaars,0,1,0
gevechtslinie,2,2,1
gevechtstoestel,2,8,0
gevechtstroep,0,6,0
gevechtsvliegtuig,13,25,0
gevechtsvoertuig,0,1,0
gevechtswagen,0,1,1
gevel,18,2,1
geveltoerist,6,1,0
gever,55,9,1
gevest,9,1,0
gevoel,5605,2032,0
gevoeligheid,77,6,0
gevoelsargument,0,1,0
gevoelsreactie,0,1,1
gevoelszaak,0,1,0
gevolg,314,768,0
gevolgtrekking,3,2,0
gevolmachtigde,5,2,0
gevorderde,3,1,0
gewaad,91,49,0
gewaarwording,17,2,0
gewas,28,42,0
geweer,2393,860,0
geweerkogel,2,2,1
geweerloop,4,2,0
geweerpatroon,0,1,0
geweersalvo,2,1,1
geweerschot,27,42,0
gewei,52,8,0
geweld,1838,1,1
gewelddaad,5,7,0
gewelddadigheid,26,5,0
gewelddelict,0,1,0
geweldpleging,113,8,0
geweldsdelict,3,7,0
gewelf,12,6,0
gewest,5,4,0
geweten,433,4,1
gewetensbezwaar,0,7,0
gewetensbezwaarde,6,1,0
gewetensprobleem,1,1,0
gewicht,756,75,0
gewichtheffer,9,2,1
gewichtsklasse,12,2,0
gewoontedier,14,2,0
gewricht,8,32,0
gewrichtsband,3,1,0
gewrichtsklacht,0,1,0
gezagdrager,1,5,1
gezaghebber,4,1,1
gezagvoerder,178,5,1
gezang,95,10,0
gezangboek,3,1,0
gezant,65,18,0
gezantschap,6,1,0
gezel,11,7,0
gezelschap,1610,1,0
gezelschapsdame,20,8,1
gezelschapsspel,1,1,0
gezicht,8026,780,0
gezichtslijn,4,2,0
gezichtsmasker,4,2,1
gezichtsmassage,5,1,1
gezichtspunt,31,5,0
gezin,3482,283,0
gezindte,2,3,0
gezinsconflict,0,1,0
gezinslid,7,21,0
gezinsprobleem,0,2,0
gezondheid,1102,5,1
gezondheidscentrum,6,3,0
gezondheidsfreak,12,1,1
gezondheidsprobleem,4,14,0
gezondheidsrisico,4,1,1
gezondheidswinkel,1,1,1
gezondheidszorg,126,1,0
gezwel,61,9,0
geïnverteerde,0,1,0
gibbon,7,3,1
gids,491,38,0
giechel,5,1,1
gienje,11,11,1
gier,41,83,0
gierigaard,8,1,1
gierzwaluw,5,1,0
gieterij,16,3,0
gifgas,35,3,0
gifkikker,0,2,1
gifmenger,2,3,1
gifslang,6,6,0
gift,210,76,0
giftand,2,11,0
gigant,51,8,0
gigolo,80,25,1
gijzelaar,297,485,1
gijzeling,84,9,0
gijzelingssituatie,2,2,1
gil,149,17,0
gild,0,16,0
gilde,121,1,1
gimmick,8,4,1
gin-tonic,38,3,1
gipsplaat,0,1,0
giro,1,1,1
gis,0,5,0
gissing,11,9,0
git,2,1,0
gitaar,501,31,0
gitaarspel,7,5,0
gitarist,64,15,0
glaasje,390,25,1
glacé,2,1,1
gladiool,7,6,0
gladjakker,7,2,1
gladjanus,0,2,0
glansrol,2,1,0
glas,2496,385,0
glas-in-loodraam,2,1,0
glasblazer,2,2,1
glasgordijn,0,1,0
glaspaneel,0,1,0
glasraam,0,1,0
glasscherf,4,16,0
glasvezel,18,2,1
glasvezelkabel,5,2,1
glazenwasser,22,4,1
gletsjer,63,34,1
gleuf,35,17,0
glider,3,2,1
glijbaan,21,5,0
glijder,3,2,1
glijmiddel,62,2,0
